#OTU ID	BRK01	BRK02	BRK03	BRK04	BRK05	BRK06	BRK07	BRK08	BRK09	BRK10	BRK11	BRK12	BRK13	BRK14	BRK15	BRK16	BRK17	BRK18	BRK19	BRK20	BRK21	BRK22	BRK23	BRK24	BRK25	BRK26	BRK27	BRK28	BRK29	BRK30	BRK31	BRK32	BRK34	BRK35	BRK36	BRK37	BRK38	BRK39	BRK40	BRK41	BRK42	BRK43	BRK44	BRK45	BRK46	BRK48	BRK49	BRK50	BRK51	BRK52	BRK53	BRK54	BRK55	BRK56	BRK57	BRK58	BRK59	BRK60	BRK61	BRK62	BRK63	BRK64	BRK65	BRK66	BRK67	BRK68	BRK69	BRK70	BRK74	BRK76	BRK80	BRK81	BRK82	BRK83	BRK84	BRK85	BRK86	BRK87	BRK88	BRK90	BRK91	BRK92	BRK93	BRK94	BRK95	BRK96
OTU_2820	0	2	0	2	2	7	3	0	0	2	1	2	2	1	4	1	3	3	7	3	2	0	0	6	1	0	7	3	0	0	0	0	0	0	0	0	0	0	2	0	0	1	7	0	4	4	55	60	21	38	9	28	13	0	2	8	13	3	28	3	1	32	8	0	4	10	5	2	0	1	10	12	18	5	92	29	13	4	27	37	37	0	9	1	0	0
OTU_2821	15	1	1	9	10	32	21	2	2	14	2	0	7	3	31	10	11	5	40	21	26	0	0	2	1	0	2	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	2	0	2	0	1	1	4	0	0	0	0	0	1	0	3	0	2	0	0	1	4	0	0	4	4	0	0	5	5	7	5	0	0	1	2	3	3	3	0	0	4	0	0	0
OTU_2822	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	5	5	24	3	3	2	0	0	4	8	1	14	0	0	26	0	0	0	0	2	3	0	0	0	0	1	0	45	5	1	0	18	18	0	0	0	0	0	0
OTU_2823	7	68	10	84	5	6	26	6	42	22	63	3	13	49	62	8	62	6	86	74	3	9	0	0	69	0	1	9	0	1	0	8	1	0	22	1	26	1	74	5	5	14	18	5	13	1	3	2	2	2	2	3	1	2	2	2	2	5	2	3	4	5	1	0	2	9	9	1	0	2	1	4	2	1	4	3	5	0	2	0	1	0	0	0	0	0
OTU_2824	0	0	1	0	3	4	2	0	1	1	2	2	0	1	4	5	2	4	2	7	1	1	0	3	1	0	6	2	0	0	0	0	0	0	0	0	0	0	3	0	2	0	2	0	5	3	102	29	24	127	29	196	45	3	28	45	77	95	61	4	46	120	149	0	1	131	226	2	0	138	59	137	154	29	158	91	221	71	122	50	41	0	26	0	0	2
OTU_2825	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0	1	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	2	0	1	8	0	3	13	0	0	0	2	0	1	0	1	0	1	0	0	2	0	0	0	3	0	0	0	0	0	0	0
OTU_2827	0	1	0	1	0	0	1	2	3	0	8	1	0	0	1	0	1	1	0	0	0	0	3	911	12	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	460	0	0	0	0	0	1	2	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	51
OTU_2828	25	3	2	6	10	202	13	15	7	18	6	9	458	7	463	7	11	12	355	252	21	94	1	4	1	1	32	0	0	0	1	38	32	0	22	29	0	197	3	4	1	43	136	93	0	1	5	3	3	3	2	12	8	4	3	3	1	12	14	3	12	52	31	0	1	20	30	9	1	11	3	12	29	3	17	5	3	6	6	9	13	0	10	1	0	1
OTU_2829	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	1	0	3	0	0	1	1	1	0	0	0	2	1	1	0	0	0	5	0	0	1	8	3	0	0	0	0	0	0	0	0	2	0	0	0	0	1
