#OTU ID	BRK01	BRK02	BRK03	BRK04	BRK05	BRK06	BRK07	BRK08	BRK09	BRK10	BRK100	BRK101	BRK102	BRK107	BRK108	BRK11	BRK110	BRK113	BRK116	BRK117	BRK12	BRK121	BRK122	BRK124	BRK125	BRK129	BRK13	BRK130	BRK132	BRK133	BRK137	BRK14	BRK140	BRK141	BRK145	BRK148	BRK149	BRK15	BRK153	BRK156	BRK157	BRK16	BRK161	BRK163	BRK164	BRK165	BRK169	BRK170	BRK171	BRK172	BRK173	BRK177	BRK178	BRK179	BRK180	BRK181	BRK185	BRK186	BRK187	BRK188	BRK19	BRK20	BRK21	BRK33	BRK34	BRK35	BRK36	BRK37	BRK38	BRK39	BRK40	BRK41	BRK42	BRK43	BRK44	BRK45	BRK46	BRK47	BRK48	BRK51	BRK52	BRK53	BRK54	BRK57	BRK58	BRK59	BRK60	BRK61	BRK62	BRK63	BRK64	BRK65	BRK66	BRK67	BRK68	BRK69	BRK70	BRK71	BRK72	BRK73	BRK74	BRK75	BRK76	BRK77	BRK78	BRK79	BRK80	BRK81	BRK97	BRK98	BRK99
OTU_3838	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	1	2	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	2	2	0	2	0	3	0	1	1	1	1	3	0	2	0	7	0	1	0	0	0	1	0	0	0	0	0
OTU_3839	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	3	0	1	0	0	3	0	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_3840	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	3	2	9	0	0	7	0	0	0	0	0	0	0	0	0	0	0	2	7	1	0	1	0	4	0	6	1	1	0	1	0	4	2	17	0	1	0	5	1	8	0	0	0	0	0
OTU_3841	0	0	0	0	0	0	1	1	10	7	0	0	0	0	0	55	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	3	1	5	0	0	0	2	0	4	0	0	0	0	0	5	0	0	0	0	0
OTU_3842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	2	0	0	0	0	0
OTU_3843	0	0	0	0	0	0	0	0	0	0	1	19	1	0	2	0	11	0	2	0	0	1	1	2	0	0	0	1	5	0	0	0	2	0	0	13	1	0	0	9	4	0	0	0	4	7	0	1	0	4	12	0	0	0	16	15	2	0	1	24	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_3844	0	2	0	0	10	7	0	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3845	0	0	0	0	0	0	0	0	0	0	7	1	0	0	1	0	1	0	1	0	0	0	1	0	3	0	0	0	8	4	0	0	2	3	0	2	3	0	0	63	33	0	0	0	0	8	0	0	2	0	0	1	0	14	0	0	1	1	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3846	3	1	7	2	3	6	0	1	13	26	29	56	16	35	35	85	99	0	27	0	140	12	61	44	41	1	0	36	46	90	12	0	26	119	8	43	59	2	0	49	2959	1	39	0	90	136	29	36	64	1902	182	51	69	47	45	166	1633	32	58	76	0	0	412	5	7	0	11	5	3	4	3	4	40	3	2	13	3	3	3	9	1	0	1	4	27	19	8	28	9	31	5	172	128	1	30	50	41	160	493	168	4	35	74	29	233	22	4	664	0	43	50
OTU_3847	0	0	0	0	8	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	3	1	1	0	1	0	0	0	3	0	1	0	1	0	0	0	0	0	0	0
