SAMPID	BRK	BRKSET	SEQRUN	PLATE	RAW	XYLAN(Y/N)	SEAWEED(Y/N)	FERMENTED	SUBSTRATE	ANIMAL	DONOR	CONANDO	UNIQUES	PAIRTAG									
3n	BRK71	1	1	1			n	Unfermented	NEGATIVE	NEGATIVE	NEGATIVE	NEGATIVENEGATIVE	NEGATIVE NEGATIVENEGATIVE	DUP22									
3p	BRK72	1	1	1			n	Unfermented	POSITIVE	POSTIVE	POSTIVE	POSTIVEPOSTIVE	POSITIVE POSTIVEPOSTIVE	DUP23									
38	BRK73	1	1	1	Soybean	n	n	Fermented	EP200	Human	A	HumanA	EP200 HumanA	DUP51									
35	BRK74	1	1	1	Rapeseed	n	y	Fermented	 EP1199	Human	C	HumanC	 EP1199 HumanC	DUP18									
32	BRK75	1	1	1	Rapeseed	n	y	Fermented	EP1199	Human	A	HumanA	EP1199 HumanA	DUP19									
25	BRK76	1	1	1	Rapeseed	n	n	Fermented	EP100	Human	A	HumanA	EP100 HumanA	DUP20									
20	BRK77	1	1	1	Soybean	n	y	Unfermented	C2299	Human	A	HumanA	C2299 HumanA	DUP25									
15	BRK78	1	1	1	Soybean	n	n	Unfermented	C200	Human	B	HumanB	C200 HumanB	DUP52									
16	BRK79	1	1	1	Soybean	n	n	Unfermented	C200	Human	B	HumanB	C200 HumanB	DUP52									
11	BRK80	1	1	1	Rapeseed	n	y	Unfermented	C1199	Human	C	HumanC	C1199 HumanC	DUP26									
8	BRK81	1	1	1	Rapeseed	nn	y	Unfermented	C1199	Human	A	HumanA	C1199 HumanA	DUP43									
3	BRK82	1	1	1	Rapeseed	n	n	Unfermented	C100	Human	B	HumanB	C100 HumanB	DUP53									
1	BRK83	1	1	1	Rapeseed	n	n	Unfermented	C100	Human	A	HumanA	C100 HumanA	DUP54									
111	BRK84	1	1	1	Xylan + Soybean	y	y	Fermented	XYL2 EP2299	Human	B	HumanB	XYL2 EP2299 HumanB	DUP55									
103	BRK85	1	1	1	Xylan + Soybean	y	n	Fermented	XYL2 EP200	Human	A	HumanA	XYL2 EP200 HumanA	DUP56									
102	BRK86	1	1	1	Xylan + Rapeseed	y	y	Fermented	XYL2 EP1199	Human	C	HumanC	XYL2 EP1199 HumanC	DUP57									
59	BRK87	1	1	1	Xylan	y	n	Unfermented	XYL2	Human	C	HumanC	XYL2 HumanC	DUP58									
55	BRK88	1	1	1	Xylan	y	n	Unfermented	XYL2	Human	A	HumanA	XYL2 HumanA	DUP30									
52	BRK89	1	1	1	Xylan	y	n	Unfermented	XYL1	Human	B	HumanB	XYL1 HumanB	DUP59									
87	BRK90	1	1	1	Xylan + Soybean	y	y	Fermented	XYL1 EP2299	Human	B	HumanB	XYL1 EP2299 HumanB	DUP47									
82	BRK91	1	1	1	Xylan + Soybean	y	n	Fermented	XYL1 EP200	Human	B	HumanB	XYL1 EP200 HumanB	DUP46									
121	BRK92	1	1	1	Xylan + Rapeseed	y	y	Fermented	XYLC EP1199	Human	A	HumanA	XYLC EP1199 HumanA	DUP40									
136	BRK93	1	1	1	Xylan + Soybean + Seaweed	y	y	Fermented	XYLC EP2299	Human	B	HumanB	XYLC EP2299 HumanB	DUP48									
PCR C	BRK94	1	1	1			n	Unfermented	PCRCON	PCRCON	PCRCON	PCRCONPCRCON	PCRCON PCRCONPCRCON	DUP60									
4n	BRK95	1	1	1			n	Unfermented	NEGATIVE	NEGATIVE	NEGATIVE	NEGATIVENEGATIVE	NEGATIVE NEGATIVENEGATIVE	DUP22									
4p	BRK96	1	1	1			n	Unfermented	POSITIVE	POSTIVE	POSTIVE	POSTIVEPOSTIVE	POSITIVE POSTIVEPOSTIVE	DUP23									
169	BRK97	2	1	2	Rapeseed + Seaweed	n	y	Fermented	EP1199	Pig	A	PigA	EP1199 PigA	DUP61									
185	BRK98	2	1	2	Soybean + Seaweed	n	y	Fermented	EP2299	Pig	C	PigC	EP2299 PigC	DUP62									
153	BRK99	2	1	2	Soybean	n	n	Unfermented	C200	Pig	B	PigB	C200 PigB	DUP63									
168	BRK100	2	1	2	Rapeseed + Seaweed	n	y	Fermented	EP100	Pig	C	PigC	EP100 PigC	DUP64									
146	BRK101	2	1	2	Rapeseed	n	n	Unfermented	C1199	Pig	A	PigA	C1199 PigA	DUP65									
233	BRK102	2	1	2	Xylan + Rapeseed + Seaweed	y	y	Fermented	XYL2 EP100	Pig	C	PigC	XYL2 EP100 PigC	DUP66									
239	BRK103	2	1	2	Xylan + Rapeseed + Seaweed	y	y	Fermented	XYL2 EP1199	Pig	C	PigC	XYL2 EP1199 PigC	DUP67									
241	BRK104	2	1	2	Xylan + Soybean + Seaweed	y	y	Fermented	XYL2 EP200	Pig	A	PigA	XYL2 EP200 PigA	DUP68									
208	BRK105	2	1	2	Xylan + Rapeseed + Seaweed	y	y	Fermented	XYL1 EP100	Pig	B	PigB	XYL1 EP100 PigB	DUP69									
214	BRK106	2	1	2	Xylan + Rapeseed + Seaweed	y	y	Fermented	XYL1 EP1199	Pig	B	PigB	XYL1 EP1199 PigB	DUP70									
226	BRK107	2	1	2	Xylan + Soybean + Seaweed	y	y	Fermented	XYL1 EP2299	Pig	B	PigB	XYL1 EP2299 PigB	DUP71									
213	BRK108	2	1	2	Xylan + Rapeseed + Seaweed	y	y	Fermented	XYL1 EP1199	Pig	B	PigB	XYL1 EP1199 PigB	DUP70									
215	BRK109	2	1	2	Xylan + Rapeseed + Seaweed	y	y	Fermented	XYL1 EP1199	Pig	C	PigC	XYL1 EP1199 PigC	DUP72									
210	BRK110	2	1	2	Xylan + Rapeseed + Seaweed	y	y	Fermented	XYL1 EP100	Pig	C	PigC	XYL1 EP100 PigC	DUP73									
221	BRK111	2	1	2	Xylan + Soybean+ Seaweed	y	y	Fermented	XYL1 EP200	Pig	C	PigC	XYL1 EP200 PigC	DUP74									
216	BRK112	2	1	2	Xylan + Rapeseed + Seaweed	y	y	Fermented	XYL1 EP1199	Pig	C	PigC	XYL1 EP1199 PigC	DUP72									
261	BRK113	2	1	2	Xylan + Rapeseed + Seaweed	y	y	Fermented	XYLC EP1199	Pig	B	PigB	XYLC EP1199 PigB	DUP75									
260	BRK114	2	1	2	Xylan + Rapeseed+ Seaweed	y	y	Fermented	XYLC EP1199	Pig	A	PigA	XYLC EP1199 PigA	DUP76									
273	BRK115	2	1	2	Xylan + Soybean + Seaweed	y	y	Fermented	XYLC EP2299	Pig	B	PigB	XYLC EP2299 PigB	DUP77									
267	BRK116	2	1	2	Xylan + Soybean + Seaweed	y	y	Fermented	XYLC EP200	Pig	B	PigB	XYLC EP200 PigB	DUP78									
259	BRK117	2	1	2	Xylan + Rapeseed+ Seaweed	y	y	Fermented	XYLC EP1199	Pig	A	PigA	XYLC EP1199 PigA	DUP76									
274	BRK118	2	1	2	Xylan + Soybean+ Seaweed	y	y	Fermented	XYLC EP2299	Pig	B	PigB	XYLC EP2299 PigB	DUP77									
P3N	BRK119	2	1	2			n	Unfermented	NEGATIVE	NEGATIVE	NEGATIVE	NEGATIVENEGATIVE	NEGATIVE NEGATIVENEGATIVE	DUP22									
P3P	BRK120	2	1	2			n	Unfermented	POSITIVE	POSTIVE	POSTIVE	POSTIVEPOSTIVE	POSITIVE POSTIVEPOSTIVE	DUP23									
258	BRK121	2	1	2	Xylan + Rapeseed + Seaweed	y	y	Fermented	XYLC EP100	Pig	C	PigC	XYLC EP100 PigC	DUP79									
177	BRK122	2	1	2	Soybean+ Seaweed	n	y	Fermented	EP200	Pig	B	PigB	EP200 PigB	DUP80									
178	BRK123	2	1	2	Soybean+ Seaweed	n	y	Fermented	EP200	Pig	B	PigB	EP200 PigB	DUP80									
186	BRK124	2	1	2	Rapeseed+ Seaweed	n	y	Fermented	EP100	Pig	C	PigC	EP100 PigC	DUP64									
164	BRK125	2	1	2	Rapeseed + Seaweed	n	y	Fermented	EP100	Pig	A	PigA	EP100 PigA	DUP81									
156	BRK126	2	1	2	Soybean	n	n	Unfermented	C200	Pig	C	PigC	C200 PigC	DUP82									
142	BRK127	2	1	2	Rapeseed	n	n	Unfermented	C100	Pig	B	PigB	C100 PigB	DUP83									
143	BRK128	2	1	2	Rapeseed	n	n	Unfermented	C100	Pig	C	PigC	C100 PigC	DUP84									
238	BRK129	2	1	2	Xylan + Rapeseed + Seaweed	y	y	Fermented	XYL2 EP1199	Pig	B	PigB	XYL2 EP1199 PigB	DUP85									
250	BRK130	2	1	2	Xylan + Soybean + Seaweed	y	y	Fermented	XYL2 EP2299	Pig	B	PigB	XYL2 EP2299 PigB	DUP86									
229	BRK131	2	1	2	Xylan + Rapeseed+ Seaweed	y	y	Fermented	XYL2 EP100	Pig	A	PigA	XYL2 EP100 PigA	DUP87									
232	BRK132	2	1	2	Xylan + Rapeseed + Seaweed	y	y	Fermented	XYL2 EP100	Pig	B	PigB	XYL2 EP100 PigB	DUP88									
227	BRK133	2	1	2	Xylan + Soybean + Seaweed	y	y	Fermented	XYL1 EP2299	Pig	C	PigC	XYL1 EP2299 PigC	DUP89									
211	BRK134	2	1	2	Xylan + Rapeseed + Seaweed	y	y	Fermented	XYL1 EP1199	Pig	A	PigA	XYL1 EP1199 PigA	DUP90									
264	BRK135	2	1	2	Xylan + Rapeseed + Seaweed	y	y	Fermented	XYLC EP1199	Pig	C	PigC	XYLC EP1199 PigC	DUP91									
254	BRK136	2	1	2	Xylan + Rapeseed+ Seaweed	y	y	Fermented	XYLC EP100	Pig	A	PigA	XYLC EP100 PigA	DUP92									
263	BRK137	2	1	2	Xylan + Rapeseed+ Seaweed	y	y	Fermented	XYLC EP1199	Pig	C	PigC	XYLC EP1199 PigC	DUP91									
276	BRK138	2	1	2	Xylan + Soybean + Seaweed	y	y	Fermented	XYLC EP2299	Pig	C	PigC	XYLC EP2299 PigC	DUP93									
202	BRK139	2	1	2	Xylan	y	n	Unfermented	XYL Control	Pig	B	PigB	XYL Control PigB	DUP94									
201	BRK140	2	1	2	Xylan	y	n	Unfermented	XYL Control	Pig	B	PigB	XYL Control PigB	DUP94									
140	BRK141	2	1	2	Rapeseed	n	n	Unfermented	C100	Pig	A	PigA	C100 PigA	DUP95									
